nome,perfil,total_financiado
AGUAS DO AMAZONAS S/A,"A Águas do Amazonas é adminsitrada pelos Grupos Águas do Brasil e Solví. O Grupo Águas do Brasil - Saneamento Ambiental Águas do Brasil (SAAB) – é formado pelas empresas Developer S.A. (Grupo Carioca Engenharia), Queiroz Galvão Participações-Concessões S.A., Trana Construções Ltda. e Construtora Cowan S.A.",120000000
ALCOA ALUMINIO S/A,"Empresa da Alcoa Inc, líder global na produção de alumínio primário, alumínio transformado, assim como a maior mineradora de bauxita e refinadora de alumina do mundo.",2281417788
ALL AMÉRICA LATINA LOGÍSTICA MALHA NORTE S/A,"Maior empresa independente de serviços de logística da América do Sul, operando nos setores ferroviários e rodoviários.",1065172657
ALUMINA LIMITED DO BRASIL S/A,Subsidiária brasileira da companhia australiana de mineração de bauxita. A empresa formou uma Joint Venture com a Alcoa.,531046320
ATLANTICO - CONCESS TRANSMISSAO ENERGIA DO BRASIL LTDA,Empresa cearense de transmissão de energia.,42255000
BAHIANA DISTRIBUIDORA DE GAS LTDA,"Empresa fo grupo Ultragaz, do Grupo Ultra, um dos maiores grupos empresariais privados do Brasil, com atuação em distribuição de combustíveis, indústria química, armazenagem de granéis líquidos. Todas as empresas são subsidiárias da holding Ultrapar.",18369000
BRADO LOGISTICA S/A,"Empresa de transporte de contêineres no Brasil e MERCOSUL com a intermodalidade ferroviári. É composta pelos grupos All (América Latina Logística), BRZ Investimentos, Deminvest, Markinvest e Caixa.",25851776
CAMARGO CORREA GERAÇÃO DE ENERGIA S/A,"Grupo de engenharia responsável por obras como a ponte Rio-Niterói, hidrelétricas de Itaipu, Ilha Solteira e Tucuruí, rodovias Castelo Branco e Imigrantes à Ferrovia do Aço, Estaleiro Atlântico Sul, metrô de São Paulo",116232000
CAMPOS DE JULIO ENERGIA S/A,"Empresa responsável pela PCH Cidezal e parte do holding Juruena Participações e Investimentos S.A., grupo detentor de cinco PCHs na área do Juruena.",18700000
CATXERE TRANSMISSORA DE ENERGIA S.A,Empresa do grupo CYMI MASA. Este grupo atua na construção e operação de linhas de transmissão e subestações de alta tensão e desde 2002 investe no setor de energia no Brasil.,193000000
CENTRAIS ELÉTRICAS DO PARA S/A- CELPA,"Cia energética do Estado, composta pelas empresas Energia Equatorial, Eletrobras e ações minoritárias.",449277211
COMPANHIA ENERGETICA DO MARANHAO - CEMAR,"Cia energética do Estado, composta pelas empresas Energia Equatorial, Eletrobras e ações Free Float.",789174062
COMPANHIA HIDRELETRICA TELES PIRES,"A companhia, responsável pela usina de Teles Pires, é formada pela Eletrosul, Furnas, Odenbrecht e Teles Pires Participações. Esta última é formada pela Eletrosul, Furnas e Neoenergia.",2862000000
CRAVARI GERAÇÃO DE ENERGIA S.A.,"Sociedade anônima de capital fechado responsável pela PCH Bocaiúva, parte da Silea Participações Ltda.",94500000
ECE PARTICIPACOES S/A,"A ECE Participações é uma sociedade anônima de capital fechado controlada integral da Companhia Energética do Jari (CEJA), companhia do Grupo EDP - Energias do Brasil.",736807000
EMPRESA DE TRANSMISSAO DE ENERGIA DO MATO GROSSO S.A.,Concessionária de serviço de transmissão de energia elétrica pertencente a Alupar Investimento S.A e Bimetal Indústria Metalúrgica Ltda.,46800000
EMPRESA REGIONAL DE TRANSMISSAO DE ENERGIA S/A,"Empresa controlada pelo Grupo Schahin, de engenharia, imobiliário, telecomunicações, petróleo, gás e energia, e pela Companhia Técnica de Engenharia Elétrica, Alusa. Os grupos são dois dos principais grupos de transmissão no Brasil.",60257800
