data,valor,tipo,beneficiário,projeto
29/06/2010,187726,indireto,ESTADO DO AMAZONAS,Construção da Ponte do Rio Negro entre os municípios de Manaus (AM) e Iranduba (AM).
11/10/2012,164000,indireto,ESTADO DO AMAZONAS,Duplicação da Rodovia Estadual AM-070.
29/12/2010,11773,indireto,ESTADO DO AMAZONAS,Construção da Ponte do Rio Negro entre os municípios de Manaus (AM) e Iranduba (AM).
14/04/2008,462192306,direto,ESTADO DO ACRE,Investimentos no Acre - PIDS III
09/12/2011,641160000,direto,ESTADO DO ACRE,Investimentos no Acre - PIDS V
14/04/2008,55073532,direto,ESTADO DO ACRE,Investimentos no Acre - PIDS III
09/12/2011,641160,indireto,ESTADO DO ACRE,Investimentos no Acre - PIDS V
14/04/2008,518779,indireto,ESTADO DO ACRE,Desenvolvimento Sustentável no Acre - Fases III e IV
04/12/2009,276281,indireto,ESTADO DO ACRE,Desenvolvimento Sustentável no Acre - Fases III e IV
18/12/2012,240662,indireto,ESTADO DO ACRE,Investimentos em saneamento e abastecimento de água no Estado do Acre.
02/10/2012,450843,indireto,ESTADO DE RONDÔNIA,Investimentos variados no Estado de Rondônia.
24/11/2010,392952860,direto,ESTADO DO MATO GROSSO,Construção da Arena Pantanal e urbanização do entorno.
30/06/2011,505477000,direto,ESTACAO TRANSMISSORA DE ENERGIA S/A,Implantação de estação retificadora de energia elétrica na subestação de Porto Velho (RO) e de estação inversora na subestação de Araraquara 2 (SP).
05/01/2012,73378794,indireto,EQUADOR LOG S.A.,Implantação de pátio de armazenagem para combustíveis derivados do pertróleo e biocombustível e de porto flutuante para distribuição de combustíveis em Itacoatiara (AM).
18/09/2012,1162500000,indireto,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,Implantação da hidrelétrica de Jirau no município de Porto Velho (RO) e do sistema de transmissão.
18/09/2012,1162500000,direto,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,Implantação da hidrelétrica de Jirau no município de Porto Velho (RO) e do sistema de transmissão.
29/06/2009,3635000000,direto,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,Implantação da hidrelétrica de Jirau no município de Porto Velho (RO) e do sistema de transmissão.
29/06/2009,3585000000,indireto,ENERGIA SUSTENTÁVEL DO BRASIL S.A.,Implantação da hidrelétrica de Jirau no município de Porto Velho (RO) e do sistema de transmissão.
07/10/2008,485090000,direto,ENERGETICA AGUAS DA PEDRA S. A.,Implantação da hidrelétrica de Dardanelos no município de Aripuanã (MT) e sistema de transmissão respectivo.
08/10/2012,53081000,direto,ENCRUZO NOVO TRANSMISSORA DE ENERGIA LTDA,Implantação da linha de transmissão Miranda (MA) - Encruzo Novo (MA) e da subestação Encruzo Novo (MA).
24/03/2012,30128900,direto,EMPRESA REGIONAL DE TRANSMISSAO DE ENERGIA S/A,Implantação da subestação Castanhal em São Francisco do Pará (PA) e seccionamento da linha de transmissão Vila do Conde (PA) - Santa Maria do Pará (PA).
24/03/2012,30128900,direto,EMPRESA REGIONAL DE TRANSMISSAO DE ENERGIA S/A,Implantação da subestação Castanhal em São Francisco do Pará (PA) e seccionamento da linha de transmissão Vila do Conde (PA) - Santa Maria do Pará (PA).
21/12/2011,46800000,direto,EMPRESA DE TRANSMISSAO DE ENERGIA DO MATO GROSSO S.A.,Implantação das linhas de tranmissão Cuiabá (MT) - Nobres (MT) e Nobres C2 (MT) - Nova Mutum (MT).
13/12/2012,736807000,direto,ECE PARTICIPACOES S/A,Implantação da hidrelétrica Santo Antônio do Jari entre os municípios de Almerim (PA) e Laranjal do Jari (AP).
14/11/2008,94500000,direto,CRAVARI GERAÇÃO DE ENERGIA S.A.,Implantação da pequena central hidreétrica Bocaiúva e sistema de transmissão no município de Brasnorte (MT).
27/09/2012,1212000000,direto,COMPANHIA HIDRELETRICA TELES PIRES,Implantação da hidrelétrica de Teles Pires nos municípios de Paranaíta (MT) e Jacareacanga (PA)
27/09/2012,1200000000,indireto,COMPANHIA HIDRELETRICA TELES PIRES,Implantação da hidrelétrica de Teles Pires nos municípios de Paranaíta (MT) e Jacareacanga (PA)
14/12/2011,450000000,direto,COMPANHIA HIDRELETRICA TELES PIRES,Implantação da hidrelétrica de Teles Pires nos municípios de Paranaíta (MT) e Jacareacanga (PA)
11/03/2008,79663000,indireto,COMPANHIA ENERGETICA DO MARANHAO - CEMAR,Expansão e Qualidade Operacional CEMAR
13/12/2012,516487630,direto,COMPANHIA ENERGETICA DO MARANHAO - CEMAR,Planos de investimento da CEMAR
11/11/2011,193023432,direto,COMPANHIA ENERGETICA DO MARANHAO - CEMAR,Planos de investimento da CEMAR
