id,level,description
A,Seção,"Agricultura, Pecuária, Produção Florestal, Pesca e Aqüicultura"
A.01,Divisão,"Agricultura, Pecuária e Serviços Relacionados"
A.01.1,Grupo,"Produção de lavouras temporárias"
A.01.11-3,Classe,"Cultivo de cereais"
A.01.11-3/01,Subclasse,"Cultivo de arroz"
A.01.11-3/02,Subclasse,"Cultivo de milho"
A.01.11-3/03,Subclasse,"Cultivo de trigo"
A.01.11-3/99,Subclasse,"Cultivo de outros cereais não especificados anteriormente"
A.01.12-1,Classe,"Cultivo de algodão herbáceo e de outras fibras de lavoura temporária"
A.01.12-1/01,Subclasse,"Cultivo de algodão herbáceo"
A.01.12-1/02,Subclasse,"Cultivo de juta"
A.01.12-1/99,Subclasse,"Cultivo de outras fibras de lavoura temporária não especificadas anteriormente"
A.01.13-0,Classe,"Cultivo de cana-de-açúcar"
A.01.13-0/00,Subclasse,"Cultivo de cana-de-açúcar"
A.01.14-8,Classe,"Cultivo de fumo"
A.01.14-8/00,Subclasse,"Cultivo de fumo"
A.01.15-6,Classe,"Cultivo de soja"
A.01.15-6/00,Subclasse,"Cultivo de soja"
A.01.16-4,Classe,"Cultivo de oleaginosas de lavoura temporária, exceto soja"
A.01.16-4/01,Subclasse,"Cultivo de amendoim"
A.01.16-4/02,Subclasse,"Cultivo de girassol"
A.01.16-4/03,Subclasse,"Cultivo de mamona"
A.01.16-4/99,Subclasse,"Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente"
A.01.19-9,Classe,"Cultivo de plantas de lavoura temporária não especificadas anteriormente"
A.01.19-9/01,Subclasse,"Cultivo de abacaxi"
A.01.19-9/02,Subclasse,"Cultivo de alho"
A.01.19-9/03,Subclasse,"Cultivo de batata-inglesa"
A.01.19-9/04,Subclasse,"Cultivo de cebola"
A.01.19-9/05,Subclasse,"Cultivo de feijão"
A.01.19-9/06,Subclasse,"Cultivo de mandioca"
A.01.19-9/07,Subclasse,"Cultivo de melão"
A.01.19-9/08,Subclasse,"Cultivo de melancia"
A.01.19-9/09,Subclasse,"Cultivo de tomate rasteiro"
A.01.19-9/99,Subclasse,"Cultivo de outras plantas de lavoura temporária não especificadas anteriormente"
A.01.2,Grupo,"Horticultura e floricultura"
A.01.21-1,Classe,"Horticultura"
A.01.21-1/01,Subclasse,"Horticultura, exceto morango"
A.01.21-1/02,Subclasse,"Cultivo de morango"
A.01.22-9,Classe,"Cultivo de flores e plantas ornamentais"
A.01.22-9/00,Subclasse,"Cultivo de flores e plantas ornamentais"
A.01.3,Grupo,"Produção de lavouras permanentes"
A.01.31-8,Classe,"Cultivo de laranja"
A.01.31-8/00,Subclasse,"Cultivo de laranja"
A.01.32-6,Classe,"Cultivo de uva"
A.01.32-6/00,Subclasse,"Cultivo de uva"
A.01.33-4,Classe,"Cultivo de frutas de lavoura permanente, exceto laranja e uva"
A.01.33-4/01,Subclasse,"Cultivo de açaí"
A.01.33-4/02,Subclasse,"Cultivo de banana"
A.01.33-4/03,Subclasse,"Cultivo de caju"
A.01.33-4/04,Subclasse,"Cultivo de cítricos, exceto laranja"
A.01.33-4/05,Subclasse,"Cultivo de coco-da-baía"
A.01.33-4/06,Subclasse,"Cultivo de guaraná"
A.01.33-4/07,Subclasse,"Cultivo de maçã"
A.01.33-4/08,Subclasse,"Cultivo de mamão"
A.01.33-4/09,Subclasse,"Cultivo de maracujá"
