project, amount, contractDate, _id, description, isDirect
{ "$oid" : "525c5a9b72e56d0000000003"},3.685314E9,{ "$date" : "2011-03-31T00:00:00.000Z"},{ "$oid" : "52673557a98d870000000003"},"IMPLANTACAO DA USINA HIDRELETRICA DE BELO MONTE, COM 11.233 MW, COM GARANTIA FISICA DE 4.571 MW, NO RIO XINGU, OBJETO DO LEILAO ANEEL Nº 006/2009, DE 20/04/2009, ENTRE OS MUNICIPIOS DE VOLTA DO XINGU E ALTAMIRA(PA)",true
{ "$oid" : "525c5c0c72e56d0000000005"},3.635E9,{ "$date" : "2009-06-29T00:00:00.000Z"},{ "$oid" : "526735d5a98d870000000005"},"CONSTRUÇÃO DA UHE JIRAU, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 3.300 MW, NO RIO MADEIRA, NO MUNICÍPIO DE PORTO VELHO-RO, BEM COMO DAS INSTALAÇÕES DE TRANSMISSÃO DE INTERESSE RESTRITO A CENTRAL GERADORA.",true
{ "$oid" : "525c5c0c72e56d0000000005"},3.585E9,{ "$date" : "2009-06-29T00:00:00.000Z"},{ "$oid" : "526735ffa98d870000000007"},"CONSTRUCAO DA UHE JIRAU, COM CAPACIDADE INSTALADA DE GERACAO DE 3.300 MW, NO RIO MADEIRA, NO MUNICIPIO DE PORTO VELHO -RO, BEM COMO DAS INSTALACOES DE TRANSMISSAO DE INTERESSE RESTRITO A CENTRAL GERADORA.",false
{ "$oid" : "525c5c3172e56d0000000007"},3.0925862E9,{ "$date" : "2009-03-04T00:00:00.000Z"},{ "$oid" : "52673627a98d870000000009"},"CONSTRUÇÃO DA UHE SANTO ANTONIO, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 3.150 MW, NO RIO MADEIRA, NO MUNICÍPIO DE PORTO VELHO/RO, BEM COMO DAS INSTALAÇÕES DE TRANSMISSÃO DE INTERESSE RESTRITO A CENTRAL GERADORA.",true
{ "$oid" : "525c5c3172e56d0000000007"},3.0425862E9,{ "$date" : "2009-03-11T00:00:00.000Z"},{ "$oid" : "52673658a98d87000000000b"},"CONSTRUCAO DA UHE SANTO ANTONIO, COM CAPACIDADE INSTALADA DE GERACAO DE 3.150 MW, NO RIO MADEIRA, NO MUNICIPIO DE PORTO VELHO/RO, BEM COMO DAS INSTALACOES DETRANSMISSAO DE INTERESSE RESTRITO A CENTRAL GERADORA.",false
{ "$oid" : "525c5c8372e56d0000000009"},2.701738182E9,{ "$date" : "2010-12-22T00:00:00.000Z"},{ "$oid" : "52673786054aaf0000000002"},"CONSTRUÇÃO DE UMA NOVA UNID. INDUSTRIAL COM CAPAC. DE PRODUÇÃO DE 1,4 MILHÃO DE TON/ANO DE CELULOSE BRANQUEADA DE EUCALIPTO EM IMPERATRIZ-MA, BEM COMO IMPLANTAÇÃO DA INFRAESTRUTURA DE APOIO NECESSÁRIA A FUTURA OPERAÇÃO DA NOVA PLANTA E INVESTIMENTOS SOCIAIS E AMBIENTAIS NA ÁREA DE INFLUÊNCIA.",true
{ "$oid" : "525c5d9a72e56d000000000b"},2.562235E9,{ "$date" : "2012-09-24T00:00:00.000Z"},{ "$oid" : "526737bc054aaf0000000004"},"INVESTIMENTOS NA ESTRADA DE FERRO CARAJAS (EFC) COM AUMENTODE CAPACIDADE, RAMAL FERROVIARIO PARA LIGACAO A EFC, AQUISICAO DE VAGOES, AMPLIACAO DO TERMINAL FERROVIARIO DA PONTA DAMADEIRA (TFPM) E AMPLIACAO DO TERMINAL MARITIMO DA PONTA DAMADEIRA (TMPM), DENOMINADO PROJETO CLN 150",true
{ "$oid" : "525c5d9a72e56d000000000b"},1320721000,{ "$date" : "2012-09-24T00:00:00.000Z"},{ "$oid" : "526737fe054aaf0000000006"},"INVESTIMENTOS NA ESTRADA DE FERRO CARAJAS (EFC) COM AUMENTODE CAPACIDADE, RAMAL FERROVIARIO PARA LIGACAO A EFC, AQUISICAO DE VAGOES, AMPLIACAO DO TERMINAL FERROVIARIO DA PONTA DAMADEIRA (TFPM) E AMPLIACAO DO TERMINAL MARITIMO DA PONTA DAMADEIRA (TMPM), DENOMINADO PROJETO CLN 150",true
{ "$oid" : "525c5eaa72e56d000000000d"},1212000000,{ "$date" : "2012-09-27T00:00:00.000Z"},{ "$oid" : "52673821054aaf0000000009"},"IMPLANTACAO DA UHE TELES PIRES, COM 1.820 MW DE POTENCIA INSTALADA, LOCALIZADA NO RIO TELES PIRES, NOS MUNICIPIOS DE PARANAITA E JACAREACANGA, NOS ESTADOS DE MATO GROSSO E PARA, RESPECTIVAMENTE, OBJETO DO LEILAO ANEEL N§004/2010.",true
{ "$oid" : "525c5eaa72e56d000000000d"},1200000000,{ "$date" : "2012-09-27T00:00:00.000Z"},{ "$oid" : "5267384c054aaf000000000b"},"IMPLANTACAO DA UHE TELES PIRES, COM 1.820 MW DE POTENCIA INSTALADA, LOCALIZADA NO RIO TELES PIRES, NOS MUNICIPIOS DE PARANAITA E JACAREACANGA, NOS ESTADOS DE MATO GROSSO E PARA, RESPECTIVAMENTE, OBJETO DO LEILAO ANEEL N§004/2010.",false
