_id, description, financings, states, title
{ "$oid" : "5265bbcc11e44c924100006a"},"INVESTIMENTOS NO SISTEMA DE ABASTECIMENTO DE AGUA, DO PROGRAMA DE REDUCAO DE PERDAS E SISTEMAS DE ESGOTAMENTO SANITARIO DA EMPRESA, NO MUNICIPIO DE MANAUS-AM.",[ ],[ "Amazonas"],"Saneamento e abastecimento de água em Manaus (AM)"
{ "$oid" : "5265bf74d984b94f87000008"},"EXPANSÃO DA MALHA DA ALL - AMÉRICA LATINA LOGÍSTICA MALHA NORTE S.A. (EXFERRONORTE), COM A CONSTRUÇÃO DE CERCA DE 262 KM ENTRE ALTO ARAGUAIA ERONDONOPOLIS, ESTADO DO MATO GROSSO.",[ ],[ "Mato Grosso"],"Expansão da malha ferroviária entre Alto Araguaia (MT) e Rondonópolis (MT)"
{ "$oid" : "5265c6dc40a44e0e8900000d"},"AMPLIACAO E MODERNIZACAO DE SEIS CENTROS OPERATIVOS DE GLP; AMPLIACAO DO DEPOSITO DE J. PESSOA-PB; CONSTRUCAO DE UMA CENTRAL DE ABASTECIMENTO DE FLEXGAS NA ALUMAR,EM SAO LUIZ-MA; E CONSTRUCAO DE UMA ESTACAO DE CONTROLE DE COMPOSICAO DE FILTRAGEM P/PROPANO E BUTANO NO CENTRO OPERATIVO DE CAPUAVA-SP.",[ ],[ ],"Plano de Investimentos Liquigás"
{ "$oid" : "5265c7a940a44e0e8900000f"},"AMPLIAR A MELHORIA DE SISTEMAS DE ABASTECIMENTO DE AGUA E IMPLANTACAO DE SISTEMAS DE ESGOTAMENTO SANITARIO EM MUNICIPIOS DO INTERIOR DO ESTADO DO ACRE",[ ],[ "Acre"],"Saneamento e abastecimento de água no Acre"
{ "$oid" : "5265cd1440a44e0e89000014"},"Ampliação e modernização da infra-estrutura social, econômica e da administração do Estado de Rondônia.",[ ],[ "Rondônia"],"Ampliação e modernização da administração pública de Rondônia"
{ "$oid" : "5265d8e440a44e0e89000018"},"AQUISICAO DE MAQUINAS E ALTERACAO DE PROCESSO PARA REDUCAO DA UMIDADE DOS PRODUTOS GRANULADO E FINO.",[ ],[ ],"Aquisição de máquinas para mineração"
{ "$oid" : "5265da1740a44e0e8900001b"},"AQUISICAO DE SISTEMA DE MANUSEIO E TRANSPORTE, DENOMINADO 5A LINHA DE EMBARQUE, QUE SERA INSTALADO NO TERMINAL MARITIMO DE PONTA DA MADEIRA-TMPM (SAO LUIS-MA), PARA ATENDIMENTO DO PROJETO PIER IV.",[ ],[ "Maranhão"],"Sistema de manuseio e transporte do Porto de São Luís (MA)"
{ "$oid" : "5265da8940a44e0e8900001d"},"AQUISIÇÃO DE UM SISTEMA DE MANUSEIO DE ESTÉRIL PARA ATENDIMENTO A MINA N4E, NO COMPLEXO DE CARAJÁS, EM PARAUAPEBAS (PA), E AQUISIÇÃO DE DOIS CARREGADORES DE NAVIOS E DE UM SISTEMA DE TRANSPORTE E MANUSEIO DE CARGAS PARA ATENDIMENTO AO PROJETO PIER IV, EM SÃO LUÍS (MA).",[ ],[ "Pará"],"Sistema de manuseio para mina N4E e porto de São Luís (MA)"
{ "$oid" : "5265dc1540a44e0e89000021"},"CONSTRUÇÃO DE DEZOITO BALSAS GRANELEIRAS, TRES EMPURRADORESE UMA BALSA COM GUINDASTE PARA TRANSPORTE DE FERRO GUSA E MINERIOS DA REGIAO DE CARAJAS.IMPLANTAÇÃO DE UMA ESCOLA PARA FLUVIARIOS, EM MARABA-PA.",[ ],[ ],"Compra de balsas graneleiras para ferro gusa e outros equipamentos"
{ "$oid" : "5265dc2d40a44e0e89000023"},"CONSTRUCAO DE PONTE SOBRE O RIO NEGRO, INTERLIGANDO OS MUNICIPIOS DE MANAUS E IRANDUBA, COM ACESSOS VIARIOS NAS DUAS MARGENS E OBRAS COMPLEMENTARES NA AREA DE INFLUENCIA DIRETA, POSSIBILITANDO IMPLEMENTAR POLITICAS PUBLICAS PARA O DESENVOLVIMENTO SOCIOECONOMICO ORGANIZADO DA RM DE MANAUS - PMI",[ { "$oid" : "5268120cf845eb0000000022"}],[ ],"Ponte sobre o Rio Negro"
{ "$oid" : "5265dc5240a44e0e89000025"},"CONSTRUCAO DE UM TERMINAL RODO-FERROVIARIO  COM   CAPACIDADEINSTALADA DE 4,2 MILHOES DE TONELADAS/ANO DESTINADA A   PRESTAR SERVICOS DE TRANSBORDO, ARMAZENAGEM E BENEFICIAMENTO  DEGRAOS, NO MUNICIPIO DE ITIQUIRA, MATO GROSSO.",[ ],[ ],"Terminal Rodoferroviário de Itiquira (MT)"
{ "$oid" : "5265de9d40a44e0e89000027"},"CONSTRUÇÃO DO GLPDUTO URUCU-COARI, DO GASODUTO COARI-MANAUS, DE RAMAIS DE ESCOAMENTO EM SETE MUNICÍPIOS E DE DUAS ESTAÇÕES DE COMPRESSÃO.",[ { "$oid" : "52673e564e78700000000008"}],[ ],"GLPDuto Urucu-Coari, Gasoduto Coari-Manaus, ramais e estações de compressão"
{ "$oid" : "5265ee3a40a44e0e89000058"},"IMPLANTACAO DA UTE PORTO DO ITAQUI, LOCALIZADA NO DISTRITO INDUSTRIAL DE SAO LUIS, MUNICIPIO DE SAO LUIS-MA, COM CAPACIDADE INSTALADA DE GERACAO DE 360 MW, BEM COMO LINHA DE TRANSMISSAO EM 230 KV, CIRCUITO DUPLO, CONECTANDO-SE AO SISTEMA ELETRICO DA ELETRONORTE, NA SUBESTACAO SAO LUIS II.",[ { "$oid" : "52673944054aaf0000000019"} , { "$oid" : "526820a2f845eb0000000040"}],[ ],"Usina Termelétrica Porto do Itaqui"
{ "$oid" : "525c5c8372e56d0000000009"},"Construção de unidade produtora de celulose e infraestrutura em Imperatriz (MA).",[ { "$oid" : "52673786054aaf0000000002"} , { "$oid" : "52680bc6f845eb000000000b"}],[ "Maranhão"],"Unidade produtora de celulose em Imperatriz (MA)"
{ "$oid" : "5265ee0540a44e0e89000056"},"IMPLANTAÇÃO DA USINA HIDRELETRICA (UHE) DARDANELOS, COM 261 MW DE CAPACIDADE INSTALADA, A SER LOCALIZADA NO RIO ARIPUANA, NO MUNICÍPIO DE ARIPUANA/MT, BEM COMO DO RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO.",[ { "$oid" : "52680fb6f845eb0000000016"}],[ ],"UHE Dardanelos"
{ "$oid" : "5265ded840a44e0e89000029"},"ELABORAÇÃO DO PROJETO EXECUTIVO DA ARENA DA AMAZONIA E SUA CONSTRUÇÃO.",[ { "$oid" : "5268122cf845eb0000000024"}],[ "Amazonas"],"Arena da Amazônia"
{ "$oid" : "5265efb840a44e0e89000060"},"Implantação de termelétricas a gás no município de Santo Antônio dos Lopes (MA).",[ { "$oid" : "5267390a054aaf0000000015"} , { "$oid" : "5268125cf845eb0000000027"}],[ ],"Termelétricas a gás no município de Santo Antônio dos Lopes (MA)"
