Beneficiário,Perfil do beneficiário,Projeto,Descrição do projeto,Data,Valor,Área,Tipo
VOTORANTIM CIMENTOS S.A,"Grupo da área de construção, uma das dez maiores do setor no mundo. Também atua nos setores de metalurgia, siderurgia, energia, celulose e agroindústria.",Implantação de unidade produtora de cimento em Cuiabá (MT).,"IMPLANTACAO DE UMA UNIDADE INTEGRADA EM CUIABA-MT, COM CAPACIDADE PARA PRODUZIR 1,2 MILHAO DE T/ANO DE CIMENTO.",13/09/11,247458633,Área de Insumos Básicos,direto
VOTORANTIM CIMENTOS N/NE S/A,"Grupo da área de construção, uma das dez maiores do setor no mundo. Também atua nos setores de metalurgia, siderurgia, energia, celulose e agroindústria.",Implantação de fábrica de cimento em Xambioá (TO).,"IMPLANTACAO DE FABRICA DE CIMENTO EM XAMBIOA - TO, COM CAPACIDADE PRODUTIVA DE
450 MIL TONELADAS POR ANO.",25/06/09,159319172,Área de Infraestrutura,direto
VOTORANTIM CIMENTOS N/NE S/A,"Grupo da área de construção, uma das dez maiores do setor no mundo. Também atua nos setores de metalurgia, siderurgia, energia, celulose e agroindústria.",Implantação de unidade de fabricação de cimento em São Luís (MA).,"10A SULC DO CALC 08208321(METAIS)/DULC 11/VOT CIMENTOS):    IMPLANTACAO DE UMA UNIDADE DE MOAGEM DE CLINQUER PARA FABRICACAO DE CIMENTO, EM SAO LUIS-MA.",10/05/11,49821767,Área de Insumos Básicos,direto
VOTORANTIM CIMENTOS N/NE S/A,"Grupo da área de construção, uma das dez maiores do setor no mundo. Também atua nos setores de metalurgia, siderurgia, energia, celulose e agroindústria.",Implantação de unidade de moagem de cimento no município de Barbacena (PA).,"IMPLANTAÇÃO DE UNIDADE DE MOAGEM DE CIMENTO DO TIPO PORTLAND DE ALTO FORNO (CP III), COM CAPACIDADE DE PRODUÇÃO DE 460 MIL T/ANO, NO MUNICÍPIO DE BARCARENA - PA.",19/11/08,34187242,Área de Insumos Básicos,direto
VOTORANTIM CIMENTOS N/NE S/A,"Grupo da área de construção, uma das dez maiores do setor no mundo. Também atua nos setores de metalurgia, siderurgia, energia, celulose e agroindústria.",Implantação de fábrica de cimento em Xambioá (TO).,"IMPLANTACAO DE FABRICA DE CIMENTO EM XAMBIOA - TO, COM CAPACIDADE PRODUTIVA DE
450 MIL TONELADAS POR ANO.",29/07/11,28050791,Área de Insumos Básicos,direto
VIDEOLAR S/A,"Empresa produtora de poliestireno (espécie de resina) para fabricação de filmes, CDs, DVDs e Blu-ray, dentre outros, a maior fabricante de mídia ótica e magnética do país.",Fábrica de Polipropileno em Manaus (implantação),"IMPLANTAÇÃO DE UNIDADE DE PRODUÇÃO DE FILME DE POLIPROPILENO BIORIENTADO (BOPP), COM CAPACIDADE DE PRODUÇÃO DE 37.500T/ /ANO, NO PÓLO INDUSTRIAL DE MANAUS (AM), E INVESTIMENTOS SOCIAIS VOLTADOS PARA A COMUNIDADE.",12/04/10,84100000,Área de Insumos Básicos,direto
VIDEOLAR S/A,"Empresa produtora de poliestireno (espécie de resina) para fabricação de filmes, CDs, DVDs e Blu-ray, dentre outros, a maior fabricante de mídia ótica e magnética do país.",Fábrica de Polipropileno em Manaus (expansão),"EXPANSAO DA UNIDADE DE FABRICACAO DE BOPP - POLIPROPILENO BIORIENTADO LOCALIZADA EM MANAUS (DE 37.500 TONELADAS/ANO PARA 112.500 TONELADAS/ANO), A PARTIR DA IMPLANTACAO DE DUAS NOVAS LINHAS DE PRODUCAO.",10/12/12,30313000,Área de Insumos Básicos,direto
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.","Investimentos na estrada de ferro Carajás, terminal ferroviário Ponta da Madeira e Terminal Marítimo Ponta da Madeira.","INVESTIMENTOS NA ESTRADA DE FERRO CARAJAS (EFC) COM AUMENTODE CAPACIDADE, RAMAL FERROVIARIO PARA LIGACAO A EFC, AQUISICAO DE VAGOES, AMPLIACAO DO TERMINAL FERROVIARIO DA PONTA DAMADEIRA (TFPM) E AMPLIACAO DO TERMINAL MARITIMO DA PONTA DAMADEIRA (TMPM), DENOMINADO PROJETO CLN 150",24/09/12,2562235000,Área de Infraestrutura,direto
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.","Investimentos na estrada de ferro Carajás, terminal ferroviário Ponta da Madeira e Terminal Marítimo Ponta da Madeira.","INVESTIMENTOS NA ESTRADA DE FERRO CARAJAS (EFC) COM AUMENTODE CAPACIDADE, RAMAL FERROVIARIO PARA LIGACAO A EFC, AQUISICAO DE VAGOES, AMPLIACAO DO TERMINAL FERROVIARIO DA PONTA DAMADEIRA (TFPM) E AMPLIACAO DO TERMINAL MARITIMO DA PONTA DAMADEIRA (TMPM), DENOMINADO PROJETO CLN 150",24/09/12,1320721000,Área de Infraestrutura,direto
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.","Implantação da hidrelétrica Estreito entre os municípios de Estreito (MA), Palmeiras do Tocantins (TO) e Aguiarnópolis (TO). Projeto do PAC.","IMPLANTAÇÃO DA UHE ESTREITO, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 1.087 MW, LOCALIZADA NO TRECHO MEDIO DO RIO TOCANTINS, ENTRE OS MUNICÍPIOS DE ESTREITO-MA, PALMEIRAS DO TOCANTINS-TO E AGUIARNOPOLIS-TO, BEM COMO DO SEU RESPECTIVO SISTEMA DE TRANSMISSAO ASSOCIADO (PROJETO NO AMBITO DO PAC).",11/03/08,808350800,Área de Infraestrutura,direto
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.",Compra de vagões para ferrovia de Carajás.,"AQUISIÇÃO DE 2.558 VAGÕES DO TIPO GDU DE 150 TON, A SEREM UTILIZADOS NA ESTRADA DE FERRO CARAJÁS.",30/06/10,175882586,Área de Infraestrutura,indireto
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.",Compra de sistema de manuseio e transporte para o porto em São Luís (MA).,"AQUISICAO DE SISTEMA DE MANUSEIO E TRANSPORTE, DENOMINADO 5A LINHA DE EMBARQUE, QUE SERA INSTALADO NO TERMINAL MARITIMO DE PONTA DA MADEIRA-TMPM (SAO LUIS-MA), PARA ATENDIMENTO DO PROJETO PIER IV.",25/03/11,102536220,Área de Insumos Básicos,direto
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.","Compra de sistema de manuseio estéril para mina de Carajás em Parauapebas (PA), carregadores de navios e sistema de manuseio de cargas para o porto em São Luís (MA).","AQUISIÇÃO DE UM SISTEMA DE MANUSEIO DE ESTÉRIL PARA ATENDIMENTO A MINA N4E, NO COMPLEXO DE CARAJÁS, EM PARAUAPEBAS (PA), E AQUISIÇÃO DE DOIS CARREGADORES DE NAVIOS E DE UM SISTEMA DE TRANSPORTE E MANUSEIO DE CARGAS PARA ATENDIMENTO AO PROJETO PIER IV, EM SÃO LUÍS (MA).",30/06/10,85971308,Área de Insumos Básicos,indireto
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.","Compra de sistema de manuseio estéril para mina de Carajás em Parauapebas (PA), carregadores de navios e sistema de manuseio de cargas para o porto em São Luís (MA).","AQUISIÇÃO DE UM SISTEMA DE MANUSEIO DE ESTÉRIL PARA ATENDIMENTO A MINA N4E, NO COMPLEXO DE CARAJÁS, EM PARAUAPEBAS (PA), E AQUISIÇÃO DE DOIS CARREGADORES DE NAVIOS E DE UM SISTEMA DE TRANSPORTE E MANUSEIO DE CARGAS PARA ATENDIMENTO AO PROJETO PIER IV, EM SÃO LUÍS (MA).",29/06/10,85971308,Área de Insumos Básicos,direto
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.","Compra de sistema de manuseio estéril para mina de Carajás em Parauapebas (PA), carregadores de navios e sistema de manuseio de cargas para o porto em São Luís (MA).","AQUISIÇÃO DE UM SISTEMA DE MANUSEIO DE ESTÉRIL PARA ATENDIMENTO A MINA N4E, NO COMPLEXO DE CARAJÁS, EM PARAUAPEBAS (PA), E AQUISIÇÃO DE DOIS CARREGADORES DE NAVIOS E DE UM SISTEMA DE TRANSPORTE E MANUSEIO DE CARGAS PARA ATENDIMENTO AO PROJETO PIER IV, EM SÃO LUÍS (MA).",30/06/10,49156089,Área de Insumos Básicos,indireto
VALE S/A,"Empresa da área de mineração, uma das três maiores do setor no mundo. Também atua nos setores de logística, energia e siderurgia.","Compra de sistema de manuseio estéril para mina de Carajás em Parauapebas (PA), carregadores de navios e sistema de manuseio de cargas para o porto em São Luís (MA).","AQUISIÇÃO DE UM SISTEMA DE MANUSEIO DE ESTÉRIL PARA ATENDIMENTO A MINA N4E, NO COMPLEXO DE CARAJÁS, EM PARAUAPEBAS (PA), E AQUISIÇÃO DE DOIS CARREGADORES DE NAVIOS E DE UM SISTEMA DE TRANSPORTE E MANUSEIO DE CARGAS PARA ATENDIMENTO AO PROJETO PIER IV, EM SÃO LUÍS (MA).",29/06/10,49156089,Área de Insumos Básicos,direto
