Título,Descrição,Quantidade de ações legais,Descrição das ações legais
Aquisição de máquinas para mineração.,AQUISICAO DE MAQUINAS E ALTERACAO DE PROCESSO PARA REDUCAO DA UMIDADE DOS PRODUTOS GRANULADO E FINO.,,
Compra de sistema de manuseio e transporte para o porto em São Luís (MA).,"AQUISICAO DE SISTEMA DE MANUSEIO E TRANSPORTE, DENOMINADO 5A LINHA DE EMBARQUE, QUE SERA INSTALADO NO TERMINAL MARITIMO DE PONTA DA MADEIRA-TMPM (SAO LUIS-MA), PARA ATENDIMENTO DO PROJETO PIER IV.",,
"Compra de sistema de manuseio estéril para mina de Carajás em Parauapebas (PA), carregadores de navios e sistema de manuseio de cargas para o porto em São Luís (MA).","AQUISIÇÃO DE UM SISTEMA DE MANUSEIO DE ESTÉRIL PARA ATENDIMENTO A MINA N4E, NO COMPLEXO DE CARAJÁS, EM PARAUAPEBAS (PA), E AQUISIÇÃO DE DOIS CARREGADORES DE NAVIOS E DE UM SISTEMA DE TRANSPORTE E MANUSEIO DE CARGAS PARA ATENDIMENTO AO PROJETO PIER IV, EM SÃO LUÍS (MA).",,
Compra de vagões para ferrovia de Carajás.,"AQUISIÇÃO DE 2.558 VAGÕES DO TIPO GDU DE 150 TON, A SEREM UTILIZADOS NA ESTRADA DE FERRO CARAJÁS.",,
Construção da Arena Pantanal e urbanização do entorno.,VIABILIZAR A CONSTRUÇÃO DA ARENA MULTIUSO PANTANAL E A URBANIZAÇÃO DO SEU ENTORNO.,,
Construção da Arena da Amazônia.,ELABORAÇÃO DO PROJETO EXECUTIVO DA ARENA DA AMAZONIA E SUA CONSTRUÇÃO.,,
Construção da Ponte do Rio Negro entre os municípios de Manaus (AM) e Iranduba (AM).,"CONSTRUCAO DE PONTE SOBRE O RIO NEGRO, INTERLIGANDO OS MUNICIPIOS DE MANAUS E IRANDUBA, COM ACESSOS VIARIOS NAS DUAS MARGENS E OBRAS COMPLEMENTARES NA AREA DE INFLUENCIA DIRETA, POSSIBILITANDO IMPLEMENTAR POLITICAS PUBLICAS PARA O DESENVOLVIMENTO SOCIOECONOMICO ORGANIZADO DA RM DE MANAUS - PMI. FINANCIAMENTO N. 17035320001",2,"[Corrigir as afrontas ao ordenamento jurídico brasileiro causadas pela construção da Ponte sobre o Rio Negro, baseada em Estudo Prévio de Impacto Ambiental/Relatório de Impacto Ambiental (EPIA/RIMA) descontextualizados com seus verdadeiros impactos, além das lacunas e ausência de propostas mitigadoras e compensatórias em concreto](http://www.pram.mpf.mp.br/news/ponte-sobre-o-rio-negro-mpf-am-pede-suspensao-do-inicio-das-operacoes/?searchterm=ponte%20negro)

[Descumprimento de mais de 20 normas de segurança no ambiente de trabalho](http://www.d24am.com/noticias/amazonas/mpt-detecta-problemas-na-seguranca-do-trabalho-na-ponte/8193)"
Construção da hidrelétrica Ferreira Gomes no município de Ferreira Gomes (AP).,"CONSTRUCAO DA USINA HIDRELETRICA FERREIRA GOMES, COM POTENCIA TOTAL INSTALADA DE 252 MW, A SER IMPLANTADA NO RIO ARAGUARI, NO MUNICIPIO DE FERREIRA GOMES - AP.",1,[Suspensão das licenças prévia e de instalação e dos efeitos do leilão que elegeu a empresa vencedora](http://www.prap.mpf.mp.br/noticias/noticia.php?cdnoticia=1390)
"Construção da hidrelétrica de Santo Antônio no município de Porto Velho (RO), além de linhas de transmissão.","CONSTRUÇÃO DA UHE SANTO ANTONIO, COM CAPACIDADE INSTALADA DE GERAÇÃO DE 3.150 MW, NO RIO MADEIRA, NO MUNICÍPIO DE PORTO VELHO/RO, BEM COMO DAS INSTALAÇÕES DE TRANSMISSÃO DE INTERESSE RESTRITO A CENTRAL GERADORA.",4,"[Cota do reservatório da Usina de Santo Antônio](http://www.prro.mpf.mp.br/downloads/institucional/ambiente/ACP_Ibama_SAEnergia_Reservatorio_usina.pdf)

[Compensações ambientais da usina do rio madeira devem permanecer em Rondônia](http://www.prro.mpf.mp.br/downloads/institucional/ambiente/acp_compensacoes_ambientais_da_usina_do_madeira.pdf)

[Pedido de liminar em desfavor do IBAMA (remarcação de reservas ambientais em vista da inundação dos lagos da UHE Jirau e UHE Santo Antônio)](http://www.prro.mpf.mp.br/downloads/institucional/cidadania/ACP_02_2012.pdf)

[Interdição dos equipamentos lançadores de concreto (autobombas) utilizados na construção da Hidrelétrica de Santo Antônio, no rio Madeira, e cumprimento de 51 itens referentes a infrações cometidas pelas empresas](http://www.prt14.mpt.gov.br/noticias2.php?opt=detalhe_noticia&idnot=464)"
"Construção de balsas graneleiras, empurradores e balsa com guindaste para transporte de ferro gusa e minérios em Carajás (PA) e implantação de escola em Marabá (PA).","CONSTRUÇÃO DE DEZOITO BALSAS GRANELEIRAS, TRES EMPURRADORESE UMA BALSA COM GUINDASTE PARA TRANSPORTE DE FERRO GUSA E MINERIOS DA REGIAO DE CARAJAS.IMPLANTAÇÃO DE UMA ESCOLA PARA FLUVIARIOS, EM MARABA-PA.",,
Construção de terminal rodoferroviário no município de Itiquira (MT).,"CONSTRUCAO DE UM TERMINAL RODO-FERROVIARIO  COM   CAPACIDADEINSTALADA DE 4,2 MILHOES DE TONELADAS/ANO DESTINADA A   PRESTAR SERVICOS DE TRANSBORDO, ARMAZENAGEM E BENEFICIAMENTO  DEGRAOS, NO MUNICIPIO DE ITIQUIRA, MATO GROSSO.",,
"Construção de uma central de abastecimento em São Luís (MA), além de outros investimentos.","AMPLIACAO E MODERNIZACAO DE SEIS CENTROS OPERATIVOS DE GLP; AMPLIACAO DO DEPOSITO DE J. PESSOA-PB; CONSTRUCAO DE UMA CENTRAL DE ABASTECIMENTO DE FLEXGAS NA ALUMAR,EM SAO LUIZ-MA; E CONSTRUCAO DE UMA ESTACAO DE CONTROLE DE COMPOSICAO DE FILTRAGEM P/PROPANO E BUTANO NO CENTRO OPERATIVO DE CAPUAVA-SP.",,
Construção de unidade produtora de celulose e infraestrutura em Imperatriz (MA).,"CONSTRUÇÃO DE UMA NOVA UNID. INDUSTRIAL COM CAPAC. DE PRODUÇÃO DE 1,4 MILHÃO DE TON/ANO DE CELULOSE BRANQUEADA DE EUCALIPTO EM IMPERATRIZ-MA, BEM COMO IMPLANTAÇÃO DA INFRAESTRUTURA DE APOIO NECESSÁRIA A FUTURA OPERAÇÃO DA NOVA PLANTA E INVESTIMENTOS SOCIAIS E AMBIENTAIS NA ÁREA DE INFLUÊNCIA.",1,[Empresa foi processada pela morte de dois trabalhadores em fábrica em Imperatriz](http://portal.mpt.gov.br/wps/portal/portal_do_mpt/comunicacao/noticias/conteudo_noticia/!ut/p/c4/04_SB8K8xLLM9MSSzPy8xBz9CP0os3hH92BPJydDRwN_E3cjA88QU1N3L7OgMC93I_2CbEdFAAovLRY!/?WCM_GLOBAL_CONTEXT=/wps/wcm/connect/mpt/portal+do+mpt/comunicacao/noticias/mpt+pede+indenizacao+de+rs+50+mi+em+acao+contra+suzano+celulose)
"Construção do GLPduto Urucu (AM) -Coari (AM), gasoduto Coari (AM) -Manaus(AM), ramais de escoamento e estações de compressão.","CONSTRUÇÃO DO GLPDUTO URUCU-COARI, DO GASODUTO COARI-MANAUS, DE RAMAIS DE ESCOAMENTO EM SETE MUNICÍPIOS E DE DUAS ESTAÇÕES DE COMPRESSÃO.",1,[Suspensão da licença prévia do Ibama](http://6ccr.pgr.mpf.mp.br/atuacao-do-mpf/acao-civil-publiva/docs_classificacao_tematica/Acao_Cautelar_contra_IBAMA_IPAAM_PETROBRAS_gasoduto_pram.pdf)
Desenvolvimento Sustentável no Acre - Fases III e IV,IMPLANTACAO DAS FASES III E IV DO PROGRAMA DE DESENVOLVIMENTO SUSTENTAVEL DO ACRE,,
Duplicação da Rodovia Estadual AM-070.,VIABILIZAR DUPLICACAO DA RODOVIA ESTADUAL AM-070.,,
Expansão da malha ferroviária (ex-Ferronorte) entre Alto Araguaia (MT) e Rondonópolis (MT).,"EXPANSÃO DA MALHA DA ALL - AMÉRICA LATINA LOGÍSTICA MALHA NORTE S.A. (EXFERRONORTE), COM A CONSTRUÇÃO DE CERCA DE 262 KM ENTRE ALTO ARAGUAIA ERONDONOPOLIS, ESTADO DO MATO GROSSO.",2,"[Implantar um sistema logístico que evite os congestionamentos frequentes de caminhões nos terminais que a empresa utiliza no município](http://www.mp.mt.gov.br/conteudo.php?sid=58&cid=61355&parent=58)

[Irregularidades no processo de licenciamento do Loteamento Parque Industrial – Fazenda ALL. Na ação, o MPE questionou a doação de uma área realizada pela empresa ao município, na zona rural, para compensar a ausência de área verde no empreendimento](http://www.mp.mt.gov.br/conteudo.php?sid=58&cid=62538&parent=58<br />)"
